bm,bn,en,zh-CN,hi,es,fr
ঙালতো হজাগ ইবেতা থক্ক ঘুমা,তাড়াতাড়ি ঘুমাও ভোরে উঠতে পারবে,Sleep early and wake up early,早睡早起,जल्दी सोयें और जल्दी उठें,Dormir temprano y levantarse temprano,Dormez tôt et réveillez-vous tôt
নিংশিং অরতা কালি কিহান করলে উহান,মনে আছে কালকে কি করেছ,Do you remember what you did yesterday?,你还记得昨天做了什么吗？,क्या तुम्हें याद है कि तुमने कल क्या किया था?,¿Recuerdas lo que hiciste ayer?,Vous souvenez-vous de ce que vous avez fait hier ?
দৌ ঝিলকানির ঙালহানাত তরে দেহেসিলু,বিদ্যুৎচমকের আলোয় তোমাকে দেখেছি,I saw you in lightning,我在闪电中看见了你,मैंने तुम्हें बिजली में देखा,Te vi en un rayo,Je t'ai vu dans l'éclair
খা বারাদের মান্ডপে এমতাগার কীর্তন হান,দক্ষিণ দিকের মান্ডপে এবারের কীর্তন,This year's kirtan in the southern mandap,今年曼达普南部的克伊尔坦,इस वर्ष का कीर्तन दक्षिणी मण्डप में,El kirtan de este año en el mandap sur,Le kirtan de cette année dans le sud du mandap
খুয়াহানে কিত্তাও নাদেহুরি,কুয়াশায় কিচ্ছু দেখা যাচ্ছে না,Nothing can be seen in the fog,雾里什么也看不见,कोहरे में कुछ भी नजर नहीं आता,No se puede ver nada en la niebla.,On ne voit rien dans le brouillard
নুঙেই নাপেইলতা নাকরিছ,খারাপ পেয়ো না,don't get bad,别变坏,बुरा मत बनो,no te pongas malo,ne deviens pas mauvais
অওয়াঙ লেকিত বুজন আগো দৌ ইল,উত্তর পাড়ায় একজন প্রবীণ মারা গেছেন,An elderly person died in North Para,北帕拉州一名老人去世,उत्तरी पारा में एक बुजुर्ग की मौत हो गई,Un anciano murió en el norte de Pará,Une personne âgée est décédée à North Para
তেইপাঙ মানুর কাম করিয়ো,মানুষের মতো কাজ করো,Act like a human being,像人一样行事,एक इंसान की तरह व्यवहार करें,Actúa como un ser humano,Agir comme un être humain
জারহানে নিককরিয়া আছু,শীতে কাপছি,Cup in winter,冬天的杯子,सर्दी में कप,copa en invierno,Coupe en hiver
হেইমাক মইলকর কৌলি,স্বামী স্ত্রীর ঝগড়া,Husband and wife quarrel,丈夫和妻子吵架,पति-पत्नी में झगड़ा होता है,Marido y mujer pelean,Querelle entre mari et femme
লেরিক হাত বহো কতি মোবাইল চেইতে,পড়তে বসো আর কত মোবাইল দেখবে,Sit down to read and see how many mobiles,坐下来看看有多少手机,पढ़ने बैठो और देखो कितने मोबाइल हैं,Siéntate a leer y mira cuántos móviles,Asseyez-vous pour lire et voir combien de mobiles
তাঙি দ্বিয়গি চাননা ইলা,তাদের দুজনের বিরোধ মিটে গেছে,The dispute between the two of them has been resolved,两人的纠纷已经解决,इन दोनों के बीच का विवाद सुलझ गया है,La disputa entre ambos ha sido resuelta.,Le différend entre les deux a été résolu
দিনহান কালা করিয়া বরণজুরি আহের,দিন কালো করে বৃষ্টি আসতেছে,The day is darkening and the rain is coming,天色渐暗，雨即将来临,दिन अँधेरा हो रहा है और बारिश आ रही है,El día se está oscureciendo y viene la lluvia.,Le jour s'assombrit et la pluie arrive
থকথক হাৎ বরণ পরতই,দ্রুত হাঁটো বৃষ্টি পড়বে,Walk fast it will rain,走快点会下雨,जल्दी चलो बारिश होगी,camina rápido que lloverá,"Marche vite, il va pleuvoir"
পাজালিয়া দারুহাসি থো,গুছিয়ে লাকড়িগুলো রাখো,Arrange the sticks,排列好木棍,लाठियों की व्यवस्था करो,Organizar los palos,Disposez les bâtons
দারু ফেরিক আয়,লাকড়ি কাটি এসো,Come cut wood,来砍木头,आओ लकड़ी काटो,Ven a cortar madera,Viens couper du bois
মহা বপিয়া বহানি নুয়ারলু আরতা,মশা বেশি বসতে পারলাম না আর,I couldn't sit anymore,我再也坐不住了,मैं अब और नहीं बैठ सकता था,ya no podía sentarme,Je ne pouvais plus m'asseoir
বেঙনে কামারিয়া ঘুমিয়া আসু,মৌমাছি কামড়ে ঘুমিয়ে আছি,I am sleeping with bee bites,我睡觉时被蜜蜂咬了,मैं मधुमक्खी के काटने से सो रहा हूँ,estoy durmiendo con picaduras de abeja,je dors avec des piqûres d'abeilles
হেইমাক-মিনক দিয়গি চুনা ইসি,স্বামী-স্ত্রী দুজনেই সুন্দর,Both husband and wife are beautiful,老公和老婆都很漂亮,पति-पत्नी दोनों खूबसूरत हैं,Tanto el marido como la mujer son hermosos.,Le mari et la femme sont beaux
তাঙর সও অগিঅউ চুনা ইসি,তাদের বাচ্চাগুলোও সুন্দর,Their children are also beautiful,他们的孩子也很漂亮,उनके बच्चे भी खूबसूरत हैं,Sus hijos también son hermosos.,Leurs enfants sont aussi beaux
উদারি হানি দিয়াবেলিস,ধার পরিশোধ করে ফেলো,Pay off the loan,还清贷款,ऋण चुकाओ,Pagar el préstamo,Rembourser le prêt
তোরতা কোন আপত্তি থায়লে বাঙাদে,তোমার কোন আপত্তি থাকলে জানাও,Let me know if you have any objection,如果您有任何异议请告诉我,अगर आपको कोई आपत्ति हो तो मुझे बताएं,Déjame saber si tienes alguna objeción.,Faites-moi savoir si vous avez des objections
